po_tourneyid,po_playerID,po_name,po_type1,po_type2,po_tier,po_isTeraCaptain,po_k,po_d,po_numbrought,po_winstreak,po_r,po_percentbrought,po_speed,po_modspeed
1,Availing,Scream Tail,Psychic,Fairy,RU,FALSE,0,13,20,,0,0.8,353,353
1,Availing,Espathra,Psychic,N/A,Uber,FALSE,0,1,2,,0,0.08,339,339
1,Availing,Indeedee ,Psychic,Normal,RU,FALSE,28,13,22,,2.15,0.88,317,476
1,Availing,Hatterene,Psychic,Fairy,OU,FALSE,5,10,18,,0.5,0.72,84,84
1,Availing,Iron Leaves,Psychic,Grass,RU,FALSE,3,6,8,,0.5,0.32,337,337
1,Availing,Calyrex - Ice,Psychic,Ice,Uber,FALSE,17,6,11,,2.83,0.44,94,94
1,Availing,Necrozma - DM,Psychic,Steel,Uber,FALSE,15,9,12,,1.67,0.48,143,143
1,Availing,Slowbro,Psychic,Water,RU,FALSE,16,17,23,,0.94,0.92,58,58
1,Availing,Jirachi,Psychic,Steel,RU,FALSE,2,2,2,,1,0.08,328,328
1,Jake B,Chi-Yu,Fire,Dark,Uber,FALSE,3,4,4,,0.75,0.1429,328,492
1,Jake B,Volcarona ,Fire,Bug,OU,FALSE,6,4,8,,1.5,0.2857,328,328
1,Jake B,Torkoal,Fire,N/A,RU,FALSE,2,24,28,,0.08,1,68,68
1,Jake B,Charizard ,Fire,Flying,RU,FALSE,24,18,27,,1.33,0.9643,328,328
1,Jake B,Ceruledge ,Fire,Ghost,OU,FALSE,35,20,28,,1.75,1,295,295
1,Jake B,Blacephalon,Fire,Ghost,RU,FALSE,6,11,15,,0.55,0.5357,313,470
1,Jake B,Volcanion,Fire,Water,RU,FALSE,2,3,3,,0.67,0.1071,176,176
1,Jake B,Arcanine- Hisui,Fire,Rock,RU,FALSE,1,1,2,,1,0.0714,306,306
1,Jake B,Heatran ,Fire,Steel,OU,FALSE,8,15,28,,0.53,1,190,190
1,Jake B,Groudon,Fire,Ground,Uber,FALSE,24,17,24,,1.41,0.8571,269,269
1,Jake B,Cinderace,Fire,Normal,UU,FALSE,3,1,1,,3,0.0357,370,370
1,Viaryrio,Landorus-Incarnate,Ground,Flying,Uber,FALSE,21,22,28,,0.95,1,331,331
1,Viaryrio,Excadrill,Ground,Steel,UU,FALSE,11,17,17,,0.65,0.6071,237,474
1,Viaryrio,Gastrodon,Ground,Water,RU,FALSE,3,11,12,,0.27,0.4286,114,114
1,Viaryrio,Gliscor ,Ground,Flying,OU,FALSE,0,0,0,,0,0,226,226
1,Viaryrio,Hippowdon,Ground,N/A,UU,FALSE,3,17,17,,0.18,0.6071,130,130
1,Viaryrio,Great Tusk ,Ground,Fighting,OU,FALSE,6,24,26,,0.25,0.9286,300,450
1,Viaryrio,Clodsire ,Ground,Poison,OU,FALSE,9,16,18,,0.56,0.6429,76,76
1,Viaryrio,Garchomp ,Ground,Dragon,OU,FALSE,22,25,28,,0.88,1,333,333
1,Viaryrio,Ursaluna ,Ground,Normal,OU,FALSE,11,11,11,,1,0.3929,122,122
1,Viaryrio,Claydol ,Ground,Psychic,RU,FALSE,1,10,11,,0.1,0.3929,186,186
1,Fuwante,Salamence,Dragon,Flying,Uber,FALSE,6,14,16,,0.43,0.8,328,372
1,Fuwante,Dracozolt,Dragon,Electric,RU,FALSE,2,5,6,,0.4,0.3,186,186
1,Fuwante,Latios,Dragon,Psychic,UU,FALSE,3,11,14,,0.27,0.7,256,256
1,Fuwante,Archaludon ,Dragon,Steel,OU,FALSE,3,10,12,,0.3,0.6,295,295
1,Fuwante,Gouging Fire,Dragon,Fire,OU,FALSE,13,14,18,,0.93,0.9,309,309
1,Fuwante,Regidrago,Dragon,N/A,RU,FALSE,7,12,16,,0.58,0.8,284,426
1,Fuwante,Tatsugiri,Dragon,Water,RU,FALSE,5,4,5,,1.25,0.25,289,289
1,Fuwante,Hydreigon,Dragon,Dark,UU,FALSE,8,6,9,,1.33,0.45,324,324
1,Fuwante,Dragonite ,Dragon,Flying,OU,FALSE,12,11,12,,1.09,0.6,259,259
1,Fuwante,Garchomp ,Dragon,Ground,OU,FALSE,1,7,8,,0.14,0.4,333,333
1,Fuwante,Giratina-Origin,Dragon,Ghost,Uber,FALSE,0,3,4,,0,0.2,194,194
1,Caper,Scizor ,Steel,Bug,OU,FALSE,16,9,12,,1.78,0.5,251,273
1,Caper,Corviknight ,Steel,Flying,OU,FALSE,5,10,10,,0.5,0.4167,170,170
1,Caper,Archaludon ,Steel,Dragon,OU,FALSE,6,9,9,,0.67,0.375,206,206
1,Caper,Iron Treads,Steel,Ground,OU,FALSE,15,17,20,,0.88,0.8333,342,513
1,Caper,Klefki,Steel,Fairy,RU,FALSE,2,10,11,,0.2,0.4583,186,279
1,Caper,Probopass,Steel,Rock,RU,FALSE,1,3,3,,0.33,0.125,116,116
1,Caper,Gholdengo,Steel,Ghost,Uber,FALSE,9,10,11,,0.9,0.4583,204,204
1,Caper,Heatran ,Steel,Fire,OU,FALSE,6,19,19,,0.32,0.7917,190,190
1,Caper,Solgaleo,Steel,Psychic,Uber,FALSE,27,22,24,,1.23,1,322,483
1,Caper,Ferrothorn,Steel,Grass,OU,FALSE,5,18,19,,0.28,0.7917,40,40
1,Caper,Iron Crown,Steel,Psychic,OU,FALSE,4,4,6,,1,0.25,324,486
1,Gyro,Sableye ,Ghost,Dark,UU,FALSE,2,9,11,,0.22,0.3929,136,76
1,Gyro,Basculegion-F,Ghost,Water,RU,FALSE,3,10,11,,0.3,0.3929,280,280
1,Gyro,Mimikyu,Ghost,Fairy,RU,FALSE,16,21,24,,0.76,0.8571,320,320
1,Gyro,Froslass,Ghost,Ice,RU,FALSE,2,11,14,,0.18,0.5,350,350
1,Gyro,Ceruledge ,Ghost,Fire,OU,FALSE,15,16,19,,0.94,0.6786,295,295
1,Gyro,Sinistcha,Ghost,Grass,RU,FALSE,15,11,13,,1.36,0.4643,200,200
1,Gyro,Polteageist,Ghost,N/A,RU,FALSE,9,13,15,,0.69,0.5357,239,239
1,Gyro,Corsola-Galar,Ghost,N/A,NFE,FALSE,13,22,24,,0.59,0.8571,96,96
1,Gyro,Zoroark - Hisui ,Ghost,Normal,RU,FALSE,8,10,10,,0.8,0.3571,350,350
1,Gyro,Marshadow,Ghost,Fighting,Uber,FALSE,24,20,22,,1.2,0.7857,349,349
1,Gyro,Basculegion-M,Ghost,Water,RU,FALSE,8,2,5,,4,0.1786,255,383
1,Henri,Baxcalibur,Ice,Dragon,Uber,FALSE,40,23,30,,1.74,1,273,273
1,Henri,Ninetales- Alola,Ice,Fairy,RU,FALSE,9,27,30,,0.33,1,348,348
1,Henri,Glalie,Ice,N/A,RU,FALSE,9,25,30,,0.36,1,284,328
1,Henri,Mamoswine,Ice,Ground,RU,FALSE,17,25,30,,0.68,1,284,284
1,Henri,Sandslash- Alola,Ice,Steel,RU,FALSE,7,26,30,,0.27,1,179,358
1,Henri,Rotom-Frost,Ice,Electric,RU,FALSE,7,13,18,,0.54,0.6,298,447
1,Henri,Weavile,Ice,Dark,UU,FALSE,0,0,0,,0,0,383,383
1,Henri,Avalugg-Hisui,Ice,Rock,RU,FALSE,0,0,0,,0,0,112,112
1,Henri,Eiscue,Ice,N/A,RU,FALSE,0,0,0,,0,0,218,394
1,Henri,Cloyster,Ice,Water,RU,FALSE,16,10,12,,1.6,0.4,264,264
1,Subagoat,Meowscarada,Dark,Grass,UU,FALSE,7,4,8,,1.75,0.3478,379,569
1,Subagoat,Mandibuzz,Dark,Flying,RU,FALSE,5,11,16,,0.45,0.6957,200,200
1,Subagoat,Yveltal,Dark,Flying,Uber,FALSE,3,5,7,,0.6,0.3043,297,297
1,Subagoat,Greninja ,Dark,Water,UU,FALSE,21,8,15,,2.63,0.6522,343,343
1,Subagoat,Sableye ,Dark,Ghost,UU,FALSE,3,11,13,,0.27,0.6522,122,68
1,Subagoat,Samurott-Hisui,Dark,Water,OU,FALSE,10,8,9,,1.25,0.3913,295,295
1,Subagoat,Incineroar,Dark,Fire,RU,FALSE,16,15,20,,1.07,0.8696,240,240
1,Subagoat,Skuntank,Dark,Poison,RU,FALSE,11,12,15,,0.92,0.6522,204,204
1,Subagoat,Grimmsnarl,Dark,Fairy,RU,FALSE,2,15,21,,0.13,0.913,156,156
1,Subagoat,Tyranitar,Dark,Rock,RU,FALSE,8,11,14,,0.73,0.6087,158,158
1,Gourmet,Lopunny ,Normal,N/A,OU,FALSE,16,1,15,,16,0.625,339,405
1,Gourmet,Staraptor,Normal,Flying,RU,FALSE,1,3,5,,0.33,0.2083,240,240
1,Gourmet,Blissey,Normal,N/A,RU,FALSE,5,5,7,,1,0.2917,146,146
1,Gourmet,Ditto,Normal,N/A,RU,FALSE,17,5,24,,3.4,1,132,198
1,Gourmet,Zoroark-Hisui ,Normal,Ghost,RU,FALSE,12,4,11,,3,0.4583,350,350
1,Gourmet,Arceus,Normal,Normal,Uber,FALSE,21,8,22,,2.63,0.9167,280,280
1,Gourmet,Porygon2,Normal,Normal,NFE,FALSE,0,8,13,,0,0.5417,140,140
1,Gourmet,Ursaluna ,Normal,Ground,OU,FALSE,26,11,17,,2.36,0.7083,122,122
1,Gourmet,Smeargle,Normal,N/A,RU,FALSE,0,15,15,,0,0.625,273,273
1,Gourmet,Indeedee ,Normal,Psychic,RU,FALSE,9,4,7,,2.25,0.2917,203,203
1,Gourmet,Porygon-Z,Normal,N/A,RU,FALSE,12,1,4,,12,0.1667,306,306
