po_tourneyid,po_playername,po_name,po_type1,po_type2,po_tier,po_isTeraCaptain,po_k,po_d,po_numbrought,po_winstreak,po_r,po_percentbrought,po_speed,po_modspeed
2,Caper,Excadrill,Steel,Ground,UU,FALSE,,2,2,,0,0.2857,275,550
2,Caper,Iron Crown,Steel,Psychic,UU,FALSE,,3,3,,0,0.4286,324,486
2,Caper,Goodra-Hisui,Steel,Dragon,UU,FALSE,2,2,3,,1,0.4286,140,140
2,Caper,Orthworm ,Steel,N/A,RU,FALSE,,3,3,,0,0.4286,166,166
2,Caper,Archaludon,Steel,Dragon,RU,TRUE,3,6,7,,0.5,1,206,206
2,Caper,Forretress,Steel,Bug,RU,TRUE,2,3,4,,0.67,0.5714,116,116
2,Eliman,Dragapult,Ghost,Dragon,Uber,FALSE,8,9,11,5,0.89,1,421,421
2,Eliman,Gholdengo ,Ghost,Steel,OU,FALSE,7,6,9,2,1.17,0.8182,293,440
2,Eliman,Ceruledge ,Ghost,Fire,UU,FALSE,10,5,7,6,2,0.6364,269,269
2,Eliman,Aegislash,Ghost,Steel,UU,FALSE,4,6,7,,0.67,0.6364,140,140
2,Eliman,Pecharunt ,Ghost,Poison,UU,FALSE,2,4,9,,0.5,0.8182,212,212
2,Eliman,Blacephalon,Ghost,Fire,UU,FALSE,,1,2,,0,0.1818,344,516
2,Eliman,Sableye-Mega ,Ghost,Dark,RU,FALSE,,5,7,,0,0.6364,136,76
2,Eliman,Gengar,Ghost,Poison,RU,FALSE,4,5,7,,0.8,0.6364,350,350
2,Eliman,Zoroark-Hisui,Ghost,Normal,RU,TRUE,1,6,6,,0.17,0.5455,350,350
2,Eliman,Mimikyu,Ghost,Fairy,RU,TRUE,1,1,1,,1,0.0909,228,228
2,Gyro,Darmanitan-Galar,Ice,N/A,Uber,FALSE,12,6,7,4,2,1,308,462
2,Gyro,Weavile,Ice,Dark,UU,FALSE,3,5,7,,0.6,1,349,349
2,Gyro,Eiscue,Ice,N/A,RU,FALSE,,,,,0,0,199,359
2,Gyro,Froslass,Ice,Ghost,RU,FALSE,2,1,2,,2,0.2857,319,319
2,Gyro,Vanilluxe,Ice,N/A,RU,TRUE,,2,2,,0,0.2857,213,213
2,Gyro,Abomasnow,Ice,Grass,RU,FALSE,4,4,7,,1,1,172,172
2,Gyro,Glalie,Ice,N/A,RU,FALSE,2,3,5,,0.67,0.7143,233,273
2,Gyro,Arctovish,Ice,Water,RU,TRUE,4,5,5,2,0.8,0.7143,220,440
2,Gyro,Arctozolt,Ice,Electric,RU,FALSE,,1,1,,0,0.1429,200,400
2,Gyro,Ninetales-Alola ,Ice,Fairy,RU,FALSE,,4,6,,0,0.8571,348,348
2,Justin,Yveltal ,Dark,Flying,Uber,FALSE,30,7,13,3,4.29,1,278,278
2,Justin,Kingambit,Dark,Steel,OU,FALSE,,,2,,0,0.1538,136,136
2,Justin,Ting-Lu,Dark,Ground,OU,FALSE,3,2,8,,1.5,0.6154,126,126
2,Justin,Samurott-Hisui,Dark,Water,OU,FALSE,,2,4,,0,0.3077,243,243
2,Justin,Meowscarada ,Dark,Grass,UU,FALSE,8,2,7,2,4,0.3077,379,569
2,Justin,Greninja,Dark,Water,UU,FALSE,4,3,5,2,1.33,0.3846,377,377
2,Justin,Weavile,Dark,Ice,UU,FALSE,10,1,4,5,10,0.3077,383,383
2,Justin,Sableye-Mega ,Dark,Dark,RU,FALSE,5,3,11,,1.67,0.8462,136,76
2,Justin,Overqwil,Dark,Poison,RU,FALSE,4,6,9,2,0.67,0.6923,206,206
2,Justin,Silvally,Dark,N/A,RU,TRUE,2,7,13,,0.29,1,226,226
2,Justin,Krookodile,Dark,Ground,RU,TRUE,9,,2,5,9,0.1538,311,467
2,Fuwante,Flutter Mane,Fairy,Ghost,Uber,FALSE,10,7,10,3,1.43,1,355,355
2,Fuwante,Tapu Lele ,Fairy,Psychic,OU,FALSE,4,4,7,,1,0.7,277,277
2,Fuwante,Diancie-Mega ,Fairy,Rock,OU,FALSE,7,4,7,,1.75,0.7,218,350
2,Fuwante,Iron Valient,Fairy,Fighting,OU,FALSE,,,,,0,0,364,546
2,Fuwante,Mawile-Mega ,Fairy,Steel,UU,FALSE,1,1,2,,1,0.2,136,136
2,Fuwante,Clefable ,Fairy,N/A,UU,FALSE,2,10,10,,0.2,1,156,156
2,Fuwante,Tapu Fini ,Fairy,Water,UU,FALSE,4,3,6,2,1.33,0.6,206,206
2,Fuwante,Azumarill ,Fairy,Water,RU,TRUE,3,8,8,,0.38,0.8,136,136
2,Fuwante,Togekiss,Fairy,Flying,RU,TRUE,3,3,3,,1,0.3,242,242
2,Fuwante,Ninetales-Alola ,Fairy,Ice,RU,FALSE,2,5,7,,0.4,0.7,313,313
